Address,Price,Beds,Baths,Latitude,Longitude
"337 Iota Ave S Apt B, Birmingham, AL 35205",500,1,1,33.4995,-86.82682
"341 Iota Ave S Apt A, Birmingham, AL 35205",500,1,1,33.49949,-86.82665
"2916 24th St, Ensley, Birmingham, AL 35208",590,2,1,33.50628,-86.86661
"2918 24th St, Ensley W Unit A, Birmingham, AL 35208",650,2,1,33.50616,-86.86663
"1415 Virginia St, Apt C, Birmingham, AL 35217",650,2,1,33.57988,-86.77089
"914 14th St SW, Apt A, Birmingham, AL 35211",700,1,1,33.489254,-86.8535
"1613 26th St, Ensley Apt C, Birmingham, AL 35218",725,2,1,33.502926,-86.888428
"8036 Rugby Ave Apt B, Birmingham, AL 35206",775,2,1,33.562317,-86.713844
"1514 2nd Ave W, Birmingham, AL 35208",800,1,1,33.503401,-86.862076
"2711 Ave E, Birmingham, AL 35218",800,2,1,33.505771,-86.902246
"1120 Hall St, Apt C, Birmingham, AL 35217",825,2,1,33.57907,-86.77675
"3015 Ave C, Birmingham, AL 35218",825,2,1,33.504803,-86.906346
"1116 Hall St, Apt G, Birmingham, AL 35217",825,2,1,33.57922,-86.776817
"1437 17th St SW, Birmingham, AL 35211",850,2,1,33.478076,-86.85789
"528 Oregon St, Birmingham, AL 35224",850,3,1,33.507765,-86.931114
"4400 43rd St N, Birmingham, AL 35217",850,3,1,33.565314,-86.772658
"409 Oporto Madrid Blvd S, Apt J, Birmingham, AL 35206",850,1,1,33.557823,-86.723129
"2608 20th Ave N, Apt 5, Birmingham, AL 35234",875,2,1,33.540985,-86.812073
"3625 Grasselli Ave SW, Birmingham, AL 35221",900,3,1,33.445758,-86.891361
"5 1st St, Birmingham, AL 35217",900,3,1.5,33.6084,-86.75205
"7330 Kimberly Ave, Birmingham, AL 35206",945,3,1,33.552955,-86.723617
"132 17th St SW, Birmingham, AL 35211",945,2,1,33.493503,-86.865987
"3708 42nd Ave N, Birmingham, AL 35207",950,3,1,33.565029,-86.790366
"844 Old Trail Rd, Birmingham, AL 35215",950,2,1.5,33.609734,-86.711998
"7524 2nd Ave, Birmingham, AL 35206",950,4,1,33.557983,-86.727295
"4929 Ave R, Birmingham, AL 35208",950,2,1,33.484263,-86.881576
"7721 1st Ave S, Apt 2, Birmingham, AL 35206",965,3,1,33.560593,-86.725845
"1301 32nd St, Ensley, Birmingham, AL 35218",975,3,1,33.497291,-86.895168
"1313 Pike Rd, Birmingham, AL 35218",975,3,1,33.499521,-86.89582
"2212 20th St N, Birmingham, AL 35234",975,3,1,33.537632,-86.820687
"724 4th Ct W, Birmingham, AL 35204",980,3,1,33.507557,-86.848591
"2990 Rhodes Cir S, Apt 116, Birmingham, AL 35205",995,1,1,33.507968,-86.783273
"401 Skyview Dr, Unit 401D, Birmingham, AL 35209",995,2,1,33.473934,-86.833755
"225 75th St N, Birmingham, AL 35206",995,3,2,33.560994,-86.733036
"420 12th Ave, Birmingham, AL 35228",1000,3,1,33.450771,-86.938465
"3928 37th Ave N, Birmingham, AL 35217",1000,4,2,33.558584,-86.779768
"4317 41st Ave N, Birmingham, AL 35217",1000,3,1,33.562496,-86.771574
"2722 Ave I, Birmingham, AL 35218",1000,4,1,33.503596,-86.898917
"739 81st St S, Apt A, Birmingham, AL 35206",1000,2,1,33.562904,-86.71357
"739 81st St S, Apt C, Birmingham, AL 35206",1000,2,1,33.562904,-86.71357
"800 Rutledge Dr, Birmingham, AL 35228",1000,3,1,33.457503,-86.943228
"1230 4th Ter W, Birmingham, AL 35208",1000,3,2,33.508323,-86.858271
"3417 Park Ave SW, Birmingham, AL 35221",1000,4,1,33.459956,-86.888243
"630 77th St S, Birmingham, AL 35206",1000,2,2,33.555609,-86.720018
"739 81st St S, Apt D, Birmingham, AL 35206",1000,2,1,33.562904,-86.71357
"739 81st St S, Apt F, Birmingham, AL 35206",1000,2,1,33.562904,-86.71357
"1721 3rd Pl SW, Birmingham, AL 35211",1000,3,1,33.478702,-86.838071
"2129 Powderly Ave SW, Birmingham, AL 35211",1000,3,1,33.468134,-86.872334
"1376 Creel Ct, Birmingham, AL 35228",1000,3,1,33.463849,-86.904936
"1825 Hoke Ave, Birmingham, AL 35217",1025,3,1,33.571889,-86.759902
"4301 Greenwood St, Birmingham, AL 35217",1045,3,1,33.56776,-86.780708
"1012 Cotton Ave SW, Birmingham, AL 35211",1050,3,1,33.495051,-86.848671
"309 Gamma St S, Birmingham, AL 35205",1050,2,2,33.498224,-86.823985
"4208 51st Ave N, Birmingham, AL 35217",1050,3,1,33.574,-86.772935
"18 Sunset Ln, Birmingham, AL 35215",1050,2,2,33.592361,-86.709946
"818 Sunset Dr, Birmingham, AL 35215",1050,3,1,33.601675,-86.697106
"1541 17th Pl SW, Birmingham, AL 35211",1050,3,1,33.475766,-86.859275
"4612 Terrace S, Birmingham, AL 35208",1050,3,1,33.491735,-86.882405
"7620 4th Ave S, Birmingham, AL 35206",1075,3,1,33.557592,-86.724355
"7829 3rd Ave S, Birmingham, AL 35206",1075,3,1.5,33.561933,-86.72196
"609 Bell Ave, Birmingham, AL 35217",1075,3,1,33.570382,-86.782183
"120 Shawnee Ln NW, Birmingham, AL 35215",1075,3,1,33.61497,-86.691285
"1616 28th St, Ensley, Birmingham, AL 35218",1100,3,1,33.501472,-86.888264
"1021 Marlin St, Birmingham, AL 35214",1100,3,2,33.578568,-86.880425
"1777 49th St, Ensley, Birmingham, AL 35208",1100,3,1,33.484557,-86.884048
"8348 10th Ave S, Birmingham, AL 35206",1100,3,1,33.565462,-86.705919
"3417 4th St W, Birmingham, AL 35207",1100,3,2,33.550016,-86.842607
"1312 Gulfport St, Birmingham, AL 35224",1100,3,2,33.498889,-86.920532
"1413 67th St W, Birmingham, AL 35228",1100,3,2,33.468789,-86.893351
"915 6th St W, Birmingham, AL 35204",1125,3,1,33.516648,-86.845974
"1017 Rocky Brook Trl, Birmingham, AL 35214",1175,3,2,33.616688,-86.908415
"204 Glynn Dr, Birmingham, AL 35215",1175,3,1.5,33.599112,-86.712119
"1722 6th Place Cir NW, Birmingham, AL 35215",1199,3,1.5,33.63314,-86.701523
"216 Sanford Dr, Birmingham, AL 35215",1200,3,1.5,33.593884,-86.702937
"1237 Linwood St, Birmingham, AL 35215",1200,3,1.5,33.619367,-86.693088
"1757 Cherry Ave, Birmingham, AL 35214",1200,3,1,33.577501,-86.881005
"5820 Court, Q, Birmingham, AL 35228",1200,3,1,33.476833,-86.886873
"512 81st St S, Birmingham, AL 35206",1200,3,1,33.563913,-86.717182
"1408 16th St SW, Birmingham, AL 35211",1200,3,2,33.479485,-86.852856
"1601 Center St S, Birmingham, AL 35205",1200,3,1,33.491551,-86.830601
"6001 Ivy St, Birmingham, AL 35228",1250,3,1,33.43236,-86.930092
"5624 Cairo Ave, Birmingham, AL 35228",1250,4,2,33.446963,-86.919056
"1893 Princeton Ct SW, Birmingham, AL 35211",1250,3,2,33.487348,-86.869899
"775 81st Pl S, Birmingham, AL 35206",1265,3,1,33.562966,-86.711604
"1228 19th Pl SW, Birmingham, AL 35211",1275,3,2,33.475575,-86.869722
"608 Fulton Ave SW, Birmingham, AL 35211",1300,3,1,33.502568,-86.845008
"603 Camp Ct, Birmingham, AL 35215",1300,3,1,33.592927,-86.696763
"1402 Ave E, Birmingham, AL 35218",1300,3,3,33.517405,-86.894033
"1444 31st St, Ensley, Birmingham, AL 35218",1345,4,2,33.498805,-86.891864
"8242 Vassar Ave, Birmingham, AL 35206",1350,4,1,33.565674,-86.713335
"416 Hearn Cir, Birmingham, AL 35215",1350,3,2,33.596932,-86.714863
"628 Callahan Rd, Birmingham, AL 35215",1350,4,2,33.597805,-86.705485
"8905 Valley Hill Dr, Birmingham, AL 35206",1395,3,2.5,33.567504,-86.699098
"514 81st St S, Birmingham, AL 35206",1400,4,2,33.563829,-86.716996
"6241 Crest Green Rd, Birmingham, AL 35212",1410,3,2,33.532768,-86.735453
"1319 31st St, Ensley, Birmingham, AL 35218",1500,3,2,33.498327,-86.894989
"2309 Eufaula Ave, Birmingham, AL 35208",1500,4,2,33.505742,-86.86741
"1628 Brewster Rd, Birmingham, AL 35235",1550,5,2,33.625728,-86.656904
"1902 26th Ave S, Birmingham, AL 35209",1800,2,2,33.485022,-86.789573
"605 Dunmore Cir, Birmingham, AL 35226",2325,3,2.5,33.410095,-86.831509
